filter0	-0.47861642	0.17414492	0.41836306
filter1	0.24260509	-0.18324809	-0.28808743
filter2	-0.68108994	-0.42873943	1.024825
filter3	-0.46862563	0.065089196	0.4491373
filter4	0.31363243	-0.58460426	-0.372875
filter5	0.45290193	-0.3712809	-0.46212876
filter6	0.3846885	-0.27495492	-0.605561
filter7	-0.44448972	-0.099832095	0.37126195
filter8	0.23788254	-0.38249582	-0.019648649
filter9	-0.3887044	0.3304469	-0.004668575
filter10	-0.50257874	-0.17513436	0.36437243
filter11	0.3379273	-0.12399605	-0.4983614
filter12	1.0824169	-0.004546366	-0.9808063
filter13	-1.4211116	0.0052466798	0.63896465
filter14	0.28555784	-0.025794474	-0.67910504
filter15	-0.38670853	-0.94749665	0.45840684
